gene.x gene.y
7021613 3260656
9253488 3285786
9296385 3260972
5752183 3011417
9252877 3364536
7595149 831895
9301034 3213951
9186506 3288014
7654566 3751603
9298439 3364616
7088180 4478556
7061805 3334426
7670189 3093288
9208722 2914761
7748484 3957424
6797913 3011679
9192345 3043787
7750717 831773
9268944 3286601
7026878 2914932
9204774 2915240
7751440 3051716
7695145 2983667
7166418 3260800
9214989 3493827
9140385 3287578
7110766 3184697
6714065 3958057
7726410 3751461
7599381 3667774
6848265 3958116
6828696 3335236
7084883 2914791
7725786 811303
9187361 3288209
9301243 3575628
7063343 3093258
6849206 3958184
9297975 3364599
9133402 3663384
9272539 658954
9131623 2915533
7149702 3182475
9189162 3287886
872642 3494159
7164776 3260648
6777302 3011348
9297948 3494521
6849440 3873099
9140348 2942638
6748695 3318207
7135572 2915071
7726717 3751326
9297524 2915554
7704502 3751011
7748789 3751049
6750207 3958037
9132955 2914882
9133214 3552104
9299872 3260917
7164881 3184893
7747896 3092460
9132862 3029763
6848843 3011870
9300456 3288385
7141959 3297530
7022802 4465112
7708457 3092529
4637253 4540122
9297536 3288261
9301855 3287595
6743991 3921910
7160081 1200684
9280591 3575909
6749136 3012035
7641685 1976491
7748245 3093383
9298436 2915484
9141508 2914964
9137263 3288116
7701136 3751403
9298841 3287860
7042539 438060
9130275 3575346
6712234 2297116
1261354 2990125
6713674 3012359
9236752 3215332
6799674 3011837
7166374 3259999
7594964 3669310
6757929 2941756
7156487 3664594
7657544 3051733
9181155 3495780
7622672 4738325
7026844 2900287
9206727 3215103
9195863 3260602
9299490 3246537
7722594 3750921
7070085 3260823
9245141 3093489
9301344 3093445
7107422 3260503
7681919 3052063
7749608 3663913
6793095 3364261
9290076 3215608
5194438 3287874
7751859 3667427
9281816 656202
9223574 3575369
9300478 3288466
7107217 3260711
9276652 3093163
7749708 3024441
7650523 4044210
7729054 3041170
2849088 3957228
7657018 3052387
9301468 3287757
8946762 3364858
7598583 3751282
7102103 3182684
9298859 3093105
6702629 3011970
9218799 3498221
7093153 2915396
9300357 3364584
9277058 3288137
7734097 3750981
9167197 3093350
9203147 3284803
7113002 2915235
7146836 4560161
